date,country,popdata2003,new_cases,cumulative_cases,new_deaths,cumulative_deaths
3/17/2003,Canada,31641630,8,8,2,2
3/18/2003,Canada,31641630,0,8,0,2
3/19/2003,Canada,31641630,0,8,0,2
3/20/2003,Canada,31641630,1,9,0,2
3/21/2003,Canada,31641630,0,9,0,2
3/22/2003,Canada,31641630,0,9,0,2
3/24/2003,Canada,31641630,2,11,1,3
3/25/2003,Canada,31641630,0,11,0,3
3/26/2003,Canada,31641630,8,19,0,3
3/27/2003,Canada,31641630,9,28,0,3
3/28/2003,Canada,31641630,1,29,0,3
3/29/2003,Canada,31641630,8,37,0,3
3/31/2003,Canada,31641630,7,44,1,4
4/1/2003,Canada,31641630,9,53,0,4
4/2/2003,Canada,31641630,5,58,2,6
4/3/2003,Canada,31641630,4,62,0,6
4/4/2003,Canada,31641630,7,69,1,7
4/5/2003,Canada,31641630,5,74,0,7
4/7/2003,Canada,31641630,16,90,2,9
4/8/2003,Canada,31641630,1,91,1,10
4/9/2003,Canada,31641630,3,94,0,10
4/10/2003,Canada,31641630,3,97,0,10
4/11/2003,Canada,31641630,1,98,0,10
4/12/2003,Canada,31641630,3,101,0,10
4/14/2003,Canada,31641630,0,100,3,13
4/15/2003,Canada,31641630,0,100,0,13
4/16/2003,Canada,31641630,3,103,0,13
4/17/2003,Canada,31641630,23,126,0,12
4/18/2003,Canada,31641630,6,132,0,12
4/19/2003,Canada,31641630,0,132,0,12
4/21/2003,Canada,31641630,0,132,0,12
4/22/2003,Canada,31641630,7,139,1,13
4/23/2003,Canada,31641630,1,140,0,13
4/24/2003,Canada,31641630,0,140,2,15
4/25/2003,Canada,31641630,0,140,0,15
4/26/2003,Canada,31641630,2,142,3,18
4/28/2003,Canada,31641630,0,142,0,18
4/29/2003,Canada,31641630,4,146,2,20
4/30/2003,Canada,31641630,2,148,0,20
5/1/2003,Canada,31641630,0,147,0,20
5/2/2003,Canada,31641630,2,149,2,22
5/3/2003,Canada,31641630,0,149,0,22
5/5/2003,Canada,31641630,0,148,0,22
5/6/2003,Canada,31641630,0,148,0,22
5/7/2003,Canada,31641630,0,146,0,22
5/8/2003,Canada,31641630,0,146,0,22
5/9/2003,Canada,31641630,0,145,0,22
5/10/2003,Canada,31641630,0,145,0,22
5/12/2003,Canada,31641630,0,143,0,22
5/13/2003,Canada,31641630,0,143,0,22
5/14/2003,Canada,31641630,0,143,1,23
5/15/2003,Canada,31641630,0,142,0,23
5/16/2003,Canada,31641630,0,140,0,23
5/17/2003,Canada,31641630,0,140,0,23
5/19/2003,Canada,31641630,0,140,0,23
5/20/2003,Canada,31641630,0,140,0,23
5/21/2003,Canada,31641630,0,140,0,23
5/22/2003,Canada,31641630,0,140,0,23
5/23/2003,Canada,31641630,0,140,0,23
5/24/2003,Canada,31641630,0,140,0,23
5/26/2003,Canada,31641630,8,148,3,26
5/27/2003,Canada,31641630,0,148,0,26
5/28/2003,Canada,31641630,1,149,0,26
5/29/2003,Canada,31641630,2,151,0,26
5/30/2003,Canada,31641630,8,159,2,28
5/31/2003,Canada,31641630,29,188,2,30
6/2/2003,Canada,31641630,10,198,0,30
6/3/2003,Canada,31641630,15,213,1,31
6/4/2003,Canada,31641630,3,216,0,31
6/5/2003,Canada,31641630,2,218,0,31
6/6/2003,Canada,31641630,1,219,0,31
6/9/2003,Canada,31641630,10,229,1,32
6/10/2003,Canada,31641630,0,229,0,32
6/11/2003,Canada,31641630,1,230,0,32
6/12/2003,Canada,31641630,8,238,0,32
6/13/2003,Canada,31641630,4,242,0,32
6/16/2003,Canada,31641630,1,243,0,32
6/17/2003,Canada,31641630,4,247,0,32
6/18/2003,Canada,31641630,0,246,1,33
6/19/2003,Canada,31641630,0,245,1,34
6/20/2003,Canada,31641630,0,245,0,34
6/23/2003,Canada,31641630,1,246,1,35
6/24/2003,Canada,31641630,3,249,2,37
6/25/2003,Canada,31641630,1,250,0,37
6/26/2003,Canada,31641630,1,251,0,37
6/27/2003,Canada,31641630,0,251,0,37
6/30/2003,Canada,31641630,1,252,0,37
7/1/2003,Canada,31641630,0,252,1,38
7/2/2003,Canada,31641630,0,252,0,38
7/3/2003,Canada,31641630,0,251,0,38
7/4/2003,Canada,31641630,0,251,0,38
7/7/2003,Canada,31641630,0,251,0,38
7/8/2003,Canada,31641630,0,250,0,38
7/9/2003,Canada,31641630,0,249,0,38
7/10/2003,Canada,31641630,1,250,0,38
7/11/2003,Canada,31641630,0,250,0,38
